4,0,2,26,0,0,0,6,16,13,20,4,15,18,0,2,26,2,110,10,0,10,15,8,42,54,44,50,247,0,9,59,5,54,49,84,102,0,0,99,146,952,0,24,133,0,63,0,25,0,0,12,14,0,0,0,0,11,0,0,0,0,116,0,0,0,27,0,0,12
22,37,4,15,0,15,11,10,18,2,3,3,0,16,0,15,26,16,10,5,27,8,80,15,149,12,53,11,10,9,0,44,27,30,6,17,56,41,18,44,137,777,17,61,123,0,105,13,49,11,17,1,24,0,0,0,0,44,0,29,12,0,47,0,0,0,0,0,0,0
116,60,114,141,77,43,57,72,220,19,39,67,115,116,116,62,103,48,81,48,122,155,128,29,333,98,140,126,122,59,44,0,165,60,30,107,301,153,86,387,372,1112,57,203,214,45,156,69,120,22,35,55,59,23,38,48,13,47,38,57,42,25,46,14,47,16,25,0,0,13
39,4,34,87,7,26,87,4,0,10,31,22,30,4,24,35,31,9,0,28,27,51,106,14,263,54,77,82,14,5,27,165,0,18,0,68,148,72,124,79,238,872,59,54,212,43,56,19,20,5,0,6,19,0,12,19,37,0,0,0,14,23,104,28,32,54,0,3,12,24
40,13,16,33,19,6,25,12,24,36,38,41,23,67,10,15,10,50,83,103,23,87,83,29,185,27,32,37,87,54,30,60,18,0,7,315,224,10,12,97,191,611,37,21,101,30,147,0,15,16,11,17,14,15,31,10,8,0,0,6,3,1,39,18,0,16,0,0,7,26
19,65,36,124,12,21,34,33,33,32,0,17,81,29,21,16,11,36,132,27,9,18,0,11,47,26,47,16,210,49,6,30,0,7,0,75,181,36,33,111,188,749,49,0,95,14,206,38,28,0,4,35,17,0,28,17,0,61,4,21,48,92,64,6,0,50,23,0,32,25
101,61,10,115,23,15,68,14,63,47,10,41,103,61,0,5,54,85,122,118,17,12,94,61,241,81,77,167,95,84,17,107,68,315,75,0,719,72,56,232,495,1660,102,75,288,6,217,12,77,0,32,97,59,28,0,21,10,34,15,31,11,0,130,2,6,11,0,37,0,0
213,146,187,327,168,67,176,204,341,119,125,122,218,255,26,106,164,237,387,135,150,79,248,127,274,215,305,376,380,102,56,301,148,224,181,719,0,340,118,616,1006,2304,149,222,513,93,346,175,199,91,295,230,241,104,162,233,99,100,133,24,157,93,172,81,105,146,79,106,110,57
47,44,34,30,26,4,25,56,33,26,30,21,37,35,22,18,29,44,138,28,29,35,121,29,238,105,40,44,71,0,41,153,72,10,36,72,340,0,213,366,468,1267,165,70,478,126,196,71,254,0,20,80,40,34,15,20,0,59,0,0,32,34,113,29,6,22,9,49,30,7
30,10,3,88,0,23,19,52,0,0,16,10,18,44,50,26,79,27,45,29,18,6,121,34,240,74,30,73,26,0,18,86,124,12,33,56,118,213,0,210,258,889,100,94,240,99,264,58,47,7,17,17,27,5,29,12,0,16,9,4,26,20,35,33,0,0,0,13,2,46
232,107,103,177,95,28,181,189,238,147,125,291,162,212,63,75,164,137,236,87,65,90,269,152,237,120,205,159,216,99,44,387,79,97,111,232,616,366,210,0,671,1930,243,87,418,144,275,86,345,46,143,252,232,96,47,184,16,167,96,43,99,152,56,114,100,137,94,109,80,67
214,148,300,458,292,117,293,305,409,149,269,199,265,348,89,70,204,251,362,198,128,118,283,210,170,341,244,452,557,146,137,372,238,191,188,495,1006,468,258,671,0,1714,291,283,432,264,322,125,561,226,363,329,429,149,140,416,56,237,249,68,153,174,109,84,64,180,177,99,184,150
982,649,621,1023,810,416,839,874,975,630,794,718,1006,1118,424,441,1124,788,1033,742,655,718,833,637,855,701,913,1110,1276,952,777,1112,872,611,749,1660,2304,1267,889,1930,1714,0,896,980,1145,731,472,600,1341,645,1157,1266,1158,573,323,1104,378,730,419,136,513,776,74,627,508,722,324,531,598,651
47,33,30,60,23,19,38,15,39,2,41,26,34,9,18,25,82,32,73,31,18,16,95,15,176,68,96,46,85,0,17,57,59,37,49,102,149,165,100,243,291,896,0,113,351,124,182,29,156,40,32,78,96,27,40,8,5,56,4,30,23,49,54,48,0,42,19,52,66,63
39,1,0,16,22,14,33,33,8,0,10,9,10,28,39,23,12,22,0,14,25,78,48,4,177,42,39,41,1,24,61,203,54,21,0,75,222,70,94,87,283,980,113,0,327,120,208,60,16,0,30,26,7,10,3,5,0,0,17,0,53,16,68,22,29,3,0,16,44,7
454,153,128,467,150,152,150,183,288,105,239,197,221,290,82,65,211,114,255,194,191,192,289,74,201,178,178,321,296,133,123,214,212,101,95,288,513,478,240,418,432,1145,351,327,0,240,265,250,538,68,212,184,439,91,117,345,90,158,134,60,266,443,28,154,340,317,129,148,188,356
61,9,0,71,18,8,5,11,46,0,28,6,12,31,7,9,30,0,40,15,34,48,40,0,75,7,67,19,18,0,0,45,43,30,14,6,93,126,99,144,264,731,124,120,240,0,233,73,212,0,21,26,3,13,68,4,0,56,0,49,52,138,107,223,60,132,184,29,112,23
374,188,119,322,214,110,169,230,235,175,118,177,152,287,87,137,267,181,331,212,123,134,206,154,116,128,171,370,205,63,105,156,56,147,206,217,346,196,264,275,322,472,182,208,265,233,0,126,536,125,386,350,564,196,204,409,230,450,288,357,105,499,180,256,197,384,272,222,222,424
2,14,40,27,60,7,21,0,45,4,12,3,3,14,3,0,7,0,19,0,0,7,76,25,77,7,1,31,16,0,13,69,19,0,38,12,175,71,58,86,125,600,29,60,250,73,126,0,22,0,0,11,18,16,22,5,0,44,20,30,67,21,70,87,10,43,0,32,16,54
42,13,0,60,19,44,0,39,21,17,16,28,51,0,62,37,52,29,57,27,25,112,41,26,140,97,54,88,104,25,49,120,20,15,28,77,199,254,47,345,561,1341,156,16,538,212,536,22,0,38,84,92,117,11,33,76,11,30,24,20,86,313,202,131,93,164,149,98,119,90
1,0,0,13,8,0,0,32,11,0,0,0,17,9,1,0,0,0,19,17,0,36,0,0,34,18,0,24,42,0,11,22,5,16,0,0,91,0,7,46,226,645,40,0,68,0,125,0,38,0,162,295,203,86,51,49,7,0,29,10,19,14,145,0,0,38,0,0,0,0
16,0,0,13,0,0,66,7,0,8,0,0,0,0,0,0,5,0,46,39,0,13,27,0,195,0,16,72,25,0,17,35,0,11,4,32,295,20,17,143,363,1157,32,30,212,21,386,0,84,162,0,300,433,29,14,42,28,45,15,55,27,62,201,24,4,5,13,29,10,0
0,6,35,57,23,17,32,105,64,19,33,5,43,24,9,11,91,24,79,39,17,31,70,25,96,55,141,75,86,12,1,55,6,17,35,97,230,80,17,252,329,1266,78,26,184,26,350,11,92,295,300,0,597,116,60,286,50,122,213,63,6,26,201,34,45,0,24,21,47,22
14,0,32,120,0,6,58,72,49,17,0,7,15,8,0,12,35,11,88,5,4,52,54,12,121,14,20,107,31,14,24,59,19,14,17,59,241,40,27,232,429,1158,96,7,439,3,564,18,117,203,433,597,0,113,117,312,98,201,92,103,12,28,167,41,0,13,32,21,2,0
41,0,15,18,0,0,15,0,0,0,9,6,20,7,0,0,0,2,0,7,9,5,53,18,37,9,25,54,51,0,0,23,0,15,0,28,104,34,5,96,149,573,27,10,91,13,196,16,11,86,29,116,113,0,0,26,0,36,19,43,10,15,122,26,9,31,15,4,17,0
1,6,11,27,6,3,13,21,74,5,4,38,4,14,0,3,0,19,40,28,0,23,12,3,70,0,41,14,27,0,0,38,12,31,28,0,162,15,29,47,140,323,40,3,117,68,204,22,33,51,14,60,117,0,0,33,33,81,15,48,0,21,101,5,4,53,6,7,0,14
46,3,0,22,2,0,9,8,0,24,7,1,0,14,0,0,0,0,46,0,0,20,23,0,105,0,38,41,6,0,0,48,19,10,17,21,233,20,12,184,416,1104,8,5,345,4,409,5,76,49,42,286,312,26,33,0,28,126,21,82,5,19,273,0,0,0,0,21,7,0
0,24,0,5,5,3,0,0,20,0,0,0,1,0,21,11,0,9,18,0,0,5,0,0,19,27,4,15,46,0,0,13,37,8,0,10,99,0,0,16,56,378,5,0,90,0,230,0,11,7,28,50,98,0,33,28,0,69,20,16,15,0,79,0,0,0,26,23,0,32
