68,3,20,76,13,9,64,34,4,106,50,11,8,20,13,30,0,45,34,41,38,100,75,59,419,0,12,18,24,32,175,172,57,18,88,70,21,0,340,45,26,47,15,27,7,16,10,87,0,60,28,8,122,18,12,0,68,0,11,23,12,90,118,18,62,718,16,27,165,0,48,58,134,7,54,0,36,13,0,16,15,46,6,5,23,49,0,9,29,6,48,0,20,0,15,5,0,5,34,36
201,190,25,10,9,77,121,123,153,209,203,48,32,73,104,87,21,74,44,166,288,338,136,326,727,139,163,109,83,101,430,1044,180,82,127,191,88,340,0,223,163,293,119,170,39,10,42,87,64,97,102,127,148,47,48,38,68,60,50,110,171,145,62,157,92,150,66,92,47,20,21,20,36,44,60,91,34,68,92,47,0,28,31,37,61,1,53,48,122,100,53,50,12,40,7,19,7,51,57,67
45,15,19,13,9,30,8,13,0,13,23,16,28,8,20,11,7,30,21,14,8,64,18,11,311,24,12,0,0,12,56,222,98,13,21,53,12,45,223,0,27,39,27,94,23,8,51,24,0,49,45,12,49,9,11,32,52,22,29,8,70,82,196,31,34,346,8,59,104,7,0,18,87,7,0,0,18,0,0,45,10,0,14,9,0,38,0,24,8,25,23,0,0,15,5,22,18,0,0,0
5,24,4,0,0,12,10,0,0,0,21,9,14,2,20,23,11,1,0,5,0,6,0,13,50,18,3,0,12,21,5,101,16,30,7,66,43,26,163,27,0,98,15,32,0,0,3,3,27,0,0,0,29,17,0,11,61,33,18,1,38,38,145,41,0,355,0,8,45,0,0,11,41,0,68,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,8,0,0,0,0,5,7,13,0,0
26,35,57,36,32,93,23,81,50,35,9,72,82,49,147,19,28,32,30,0,13,19,7,88,107,76,89,86,108,83,80,55,98,65,172,203,133,47,293,39,98,0,186,217,63,41,75,27,51,50,52,32,79,35,35,43,190,72,139,52,69,143,434,68,71,1038,5,97,292,15,2,61,232,26,45,35,24,6,32,26,61,68,18,55,2,105,26,12,26,0,0,13,37,9,14,7,40,0,27,0
0,5,10,25,0,32,27,23,0,0,0,23,41,5,25,69,9,15,0,0,0,12,0,42,29,0,16,0,8,0,18,16,31,8,32,144,98,15,119,27,15,186,0,6,35,8,0,20,32,12,3,0,62,0,10,31,52,7,70,2,13,91,154,13,0,446,0,25,51,0,13,24,217,6,0,0,0,35,5,7,11,26,6,0,12,23,29,0,9,0,41,0,0,7,0,8,18,10,0,14
1,39,17,0,40,0,27,11,8,15,30,0,27,7,55,11,5,7,49,4,6,2,19,45,26,0,61,0,26,23,0,71,58,49,35,127,72,27,170,94,32,217,6,0,34,8,19,22,31,49,32,32,47,28,2,9,58,19,74,18,24,130,108,31,0,539,4,38,74,27,29,0,92,0,12,31,0,0,10,41,70,9,0,24,41,21,4,5,2,19,0,21,8,28,40,4,34,58,47,14
24,4,4,0,0,50,23,13,0,7,26,0,13,5,45,0,5,0,0,0,0,0,0,0,23,1,0,0,7,29,0,13,12,0,11,37,23,7,39,23,0,63,35,34,0,219,169,35,25,23,0,10,0,117,0,32,62,14,66,0,24,141,288,2,0,659,1,73,185,0,8,7,136,16,70,0,0,11,0,17,38,0,1,51,0,68,0,0,0,0,0,0,6,27,0,8,44,0,0,0
36,51,0,0,8,10,9,46,0,12,0,51,22,7,26,27,0,19,11,0,0,10,6,1,18,0,20,24,27,22,44,40,2,12,23,121,105,16,10,8,0,41,8,8,219,0,78,52,6,28,0,0,96,93,0,32,96,22,120,14,38,75,269,14,0,617,0,57,60,10,0,27,69,0,0,13,42,14,0,16,15,30,0,0,27,42,4,25,0,0,6,0,0,8,4,38,42,29,8,17
4,0,0,0,0,2,2,24,0,0,0,2,0,6,14,13,0,0,4,0,20,0,0,2,15,0,15,0,14,4,0,0,26,8,2,110,10,10,42,51,3,75,0,19,169,78,0,54,50,2,5,9,57,49,9,25,41,10,51,0,0,99,146,0,7,952,17,7,126,0,0,14,63,0,11,0,0,0,0,0,12,14,0,0,0,116,0,0,0,0,27,0,0,11,0,0,0,0,0,12
0,40,5,8,0,16,8,25,3,16,6,14,12,0,10,17,19,25,35,6,0,48,0,3,90,0,0,23,22,45,23,103,23,16,50,83,103,87,87,24,3,27,20,22,35,52,54,0,183,33,17,30,28,7,17,115,58,60,106,1,21,97,191,25,2,611,19,16,97,14,16,0,147,0,15,3,16,11,0,0,17,14,0,15,31,39,1,18,0,16,0,10,0,0,0,8,6,0,7,26
44,25,1,54,2,0,3,19,0,9,0,19,11,3,14,18,19,32,28,0,10,0,0,0,45,12,15,12,24,13,0,36,21,39,71,114,104,0,64,0,27,51,32,31,25,6,50,183,0,36,19,17,52,21,13,124,124,43,39,0,32,105,219,55,40,660,4,33,129,6,0,10,102,0,36,11,0,0,20,19,37,10,11,22,0,67,0,0,0,11,0,10,9,4,15,0,0,31,0,0
8,29,7,0,21,15,14,18,8,31,33,12,17,0,62,8,0,8,7,0,8,15,42,21,58,16,5,12,28,15,77,118,16,8,32,17,15,60,97,49,0,50,12,49,23,28,2,33,36,0,56,21,103,13,22,0,48,33,5,20,71,188,181,15,72,672,19,30,88,0,17,8,69,47,37,0,13,0,0,0,21,0,8,9,10,16,19,6,0,16,0,7,0,4,17,6,29,0,0,0
5,0,0,0,14,14,0,21,0,7,0,0,4,0,0,0,10,26,12,10,31,2,9,6,71,17,0,18,4,0,5,52,45,0,9,0,28,28,102,45,0,52,3,32,0,0,5,17,19,56,0,4,42,0,9,23,33,4,63,33,43,38,107,33,12,447,8,49,94,8,0,2,48,5,0,14,5,0,0,0,0,10,0,0,8,72,0,0,27,54,0,0,0,0,0,21,0,3,6,0
2,20,0,37,0,4,0,15,0,0,15,8,0,10,10,0,2,11,0,3,0,3,0,41,64,0,0,0,0,16,27,38,0,15,16,10,5,8,127,12,0,32,0,32,10,0,9,30,17,21,4,0,44,6,0,0,39,0,17,23,24,44,137,22,61,777,0,58,74,0,0,10,105,13,39,12,11,17,0,1,0,0,24,0,0,47,0,0,0,0,0,0,0,44,0,0,29,0,0,0
