         4980843980 function calls (4980842900 primitive calls) in 3733.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 common.py:163(is_s3_url)
      123    0.000    0.000    0.003    0.000 common.py:1643(is_extension_type)
      386    0.001    0.000    0.002    0.000 common.py:1702(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 common.py:171(is_gcs_url)
        1    0.000    0.000    0.000    0.000 common.py:175(_all_none)
        2    0.000    0.000    0.000    0.000 common.py:1752(is_complex_dtype)
        7    0.000    0.000    0.000    0.000 common.py:1784(_is_dtype)
        1    0.000    0.000    0.001    0.001 common.py:179(get_filepath_or_buffer)
       15    0.000    0.000    0.000    0.000 common.py:1809(_get_dtype)
      658    0.001    0.000    0.002    0.000 common.py:1845(_is_dtype_type)
      154    0.000    0.000    0.000    0.000 common.py:1981(pandas_dtype)
        2    0.000    0.000    0.000    0.000 common.py:222(asarray_tuplesafe)
        1    0.000    0.000    0.001    0.001 common.py:260(_infer_compression)
      249    0.000    0.000    0.003    0.000 common.py:262(is_categorical)
       10    0.000    0.000    0.000    0.000 common.py:403(is_datetime64_dtype)
      265    0.000    0.000    0.002    0.000 common.py:434(is_datetime64tz_dtype)
        7    0.000    0.000    0.000    0.000 common.py:472(is_timedelta64_dtype)
      138    0.000    0.000    0.001    0.000 common.py:503(is_period_dtype)
      134    0.000    0.000    0.001    0.000 common.py:536(is_interval_dtype)
      626    0.001    0.000    0.005    0.000 common.py:572(is_categorical_dtype)
        6    0.000    0.000    0.000    0.000 common.py:605(is_string_dtype)
        6    0.000    0.000    0.000    0.000 common.py:634(condition)
        1    0.000    0.000    0.000    0.000 common.py:702(is_datetimelike)
        3    0.000    0.000    0.000    0.000 common.py:746(is_dtype_equal)
        1    0.000    0.000    0.000    0.000 common.py:76(_is_url)
      248    0.000    0.000    0.001    0.000 common.py:868(is_integer_dtype)
        3    0.000    0.000    0.000    0.000 common.py:923(is_signed_integer_dtype)
        3    0.000    0.000    0.000    0.000 common.py:94(_expand_user)
        2    0.000    0.000    0.000    0.000 common.py:980(is_unsigned_integer_dtype)
        1    0.000    0.000    0.032    0.032 construction.py:170(init_dict)
        1    0.000    0.000    0.013    0.013 construction.py:254(_homogenize)
        1    0.000    0.000    0.024    0.024 construction.py:43(arrays_to_mgr)
      125    0.001    0.000    0.013    0.000 construction.py:537(sanitize_array)
      125    0.000    0.000    0.010    0.000 construction.py:684(_try_cast)
 41567514    6.841    0.000    6.841    0.000 copy.py:111(_copy_immutable)
 83500159   92.790    0.000  121.705    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 dtypes.py:452(construct_from_string)
        1    0.000    0.000    0.000    0.000 dtypes.py:672(construct_from_string)
      387    0.000    0.000    0.001    0.000 dtypes.py:68(find)
        1    0.000    0.000    0.000    0.000 dtypes.py:786(construct_from_string)
      138    0.000    0.000    0.001    0.000 dtypes.py:827(is_dtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:929(construct_from_string)
      130    0.000    0.000    0.001    0.000 dtypes.py:973(is_dtype)
   863782    6.195    0.000   21.487    0.000 factor.py:115(transpose_by_)
   863782    1.121    0.000    1.655    0.000 factor.py:117(<listcomp>)
   162382    2.574    0.000   29.689    0.000 factor.py:131(marginalize)
   162382    0.191    0.000    0.302    0.000 factor.py:139(<listcomp>)
   162382    0.130    0.000    0.130    0.000 factor.py:142(<listcomp>)
   162382    0.110    0.000    0.110    0.000 factor.py:143(<listcomp>)
   163724    1.370    0.000   34.402    0.000 factor.py:165(marginalize_except_)
   163724    0.185    0.000    0.185    0.000 factor.py:167(<listcomp>)
   365107   13.210    0.000   79.685    0.000 factor.py:176(normalize)
   365107    0.415    0.000    0.578    0.000 factor.py:183(<listcomp>)
   327448   16.905    0.000   57.208    0.000 factor.py:197(add)
 20525990  306.357    0.000 1190.593    0.000 factor.py:240(product)
   327448    0.806    0.000   58.014    0.000 factor.py:326(__add__)
 20525990   35.560    0.000 1226.153    0.000 factor.py:338(__mul__)
   654896    0.735    0.000   52.199    0.000 factor.py:347(__rmul__)
    52787    0.341    0.000    1.112    0.000 factor.py:35(values)
1907497877 1183.622    0.000 1503.917    0.000 factor.py:353(__eq__)
 21419540   26.004    0.000   59.567    0.000 factor.py:366(__hash__)
   527489   25.478    0.000   71.000    0.000 factor.py:373(logsumexp)
 20853438   31.731    0.000   31.731    0.000 factor.py:391(default_factor_name)
   335339    1.424    0.000 1229.396    0.004 factor.py:407(product_over_)
   335339    1.819    0.000    1.819    0.000 factor.py:408(<listcomp>)
 19871094   26.285    0.000 1200.974    0.000 factor.py:410(<lambda>)
     7625    0.198    0.000    0.903    0.000 factor.py:417(entropy)
209931300   43.294    0.000   43.294    0.000 factor.py:52(log_values)
 84402569   37.918    0.000   37.918    0.000 factor.py:56(log_values)
    29768    0.138    0.000    1.566    0.000 factor.py:60(initialize_with_)
    29768    0.030    0.000    0.049    0.000 factor.py:76(get_cardinality_for_)
 41604908  167.179    0.000  205.328    0.000 factor.py:8(__init__)
 41567514  179.670    0.000  783.466    0.000 factor.py:82(copy)
        1    0.000    0.000    0.033    0.033 frame.py:378(__init__)
   162382    0.051    0.000    0.051    0.000 fromnumeric.py:1377(_squeeze_dispatcher)
   162382    0.225    0.000    0.783    0.000 fromnumeric.py:1381(squeeze)
   535247    0.165    0.000    0.165    0.000 fromnumeric.py:2040(_sum_dispatcher)
   535247    1.978    0.000   11.672    0.000 fromnumeric.py:2045(sum)
  1182385    0.324    0.000    0.324    0.000 fromnumeric.py:2499(_amax_dispatcher)
  1182385    3.416    0.000   25.038    0.000 fromnumeric.py:2504(amax)
   863782    1.210    0.000    3.110    0.000 fromnumeric.py:55(_wrapfunc)
   863782    0.222    0.000    0.222    0.000 fromnumeric.py:599(_transpose_dispatcher)
   863782    1.070    0.000    4.179    0.000 fromnumeric.py:603(transpose)
  1717632    6.385    0.000   30.886    0.000 fromnumeric.py:73(_wrapreduction)
  1717632    2.403    0.000    2.403    0.000 fromnumeric.py:74(<dictcomp>)
      122    0.000    0.000    0.000    0.000 fromnumeric.py:822(_sort_dispatcher)
      122    0.001    0.000    0.009    0.000 fromnumeric.py:826(sort)
        1    0.000    0.000    0.000    0.000 function.py:40(__call__)
 41582642    7.853    0.000    7.853    0.000 function_base.py:741(_copy_dispatcher)
 41582642   21.171    0.000  179.722    0.000 function_base.py:745(copy)
        1    0.000    0.000    0.001    0.001 generic.py:11018(logical_func)
        4    0.000    0.000    0.000    0.000 generic.py:127(__init__)
        2    0.000    0.000    0.000    0.000 generic.py:178(_validate_dtype)
        1    0.000    0.000    0.000    0.000 generic.py:297(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 generic.py:334(<dictcomp>)
        1    0.000    0.000    0.000    0.000 generic.py:349(_get_axis_number)
        1    0.000    0.000    0.000    0.000 generic.py:363(_get_axis_name)
        1    0.000    0.000    0.000    0.000 generic.py:377(_get_axis)
        1    0.000    0.000    0.000    0.000 generic.py:4113(reindex)
        2    0.000    0.000    0.000    0.000 generic.py:4341(<genexpr>)
        1    0.000    0.000    0.000    0.000 generic.py:5036(__finalize__)
        3    0.000    0.000    0.000    0.000 generic.py:5053(__getattr__)
        5    0.000    0.000    0.000    0.000 generic.py:5069(__setattr__)
        2    0.000    0.000    0.000    0.000 generic.py:5122(_protect_consolidate)
        2    0.000    0.000    0.000    0.000 generic.py:5132(_consolidate_inplace)
        2    0.000    0.000    0.000    0.000 generic.py:5135(f)
        1    0.000    0.000    0.000    0.000 generic.py:5250(values)
     4980    0.003    0.000    0.007    0.000 generic.py:7(_check)
        1    0.000    0.000    0.001    0.001 generic.py:7083(isnull)
        2    0.000    0.000    0.540    0.270 graphical_model.py:114(copy)
        2    0.014    0.007    0.395    0.197 graphical_model.py:115(<listcomp>)
      123    0.000    0.000    0.000    0.000 graphical_model.py:24(add_variable)
        1    0.000    0.000    0.000    0.000 graphical_model.py:27(add_variables_from)
        1    0.000    0.000    0.000    0.000 graphical_model.py:31(remove_variable)
    29768    0.109    0.000    0.500    0.000 graphical_model.py:38(get_cardinality_for_)
    59536    0.319    0.000    0.319    0.000 graphical_model.py:39(<genexpr>)
      245    0.321    0.001    0.326    0.001 graphical_model.py:67(get_adj_factors)
      122    0.001    0.000    0.142    0.001 graphical_model.py:75(degree)
        3    0.008    0.003    0.145    0.048 graphical_model.py:8(__init__)
    22755    0.204    0.000    0.222    0.000 graphical_model.py:82(add_factor)
        1    0.000    0.000    0.012    0.012 graphical_model.py:94(remove_factors_from)
      244    0.111    0.000    0.111    0.000 graphical_model.py:98(get_factor)
        5    0.000    0.000    0.000    0.000 inference.py:121(is_iterator)
