         31511131 function calls (31313021 primitive calls) in 76.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 common.py:980(is_unsigned_integer_dtype)
        1    0.000    0.000    0.033    0.033 construction.py:170(init_dict)
        1    0.000    0.000    0.016    0.016 construction.py:254(_homogenize)
        1    0.000    0.000    0.026    0.026 construction.py:43(arrays_to_mgr)
      125    0.001    0.000    0.015    0.000 construction.py:537(sanitize_array)
      125    0.000    0.000    0.012    0.000 construction.py:684(_try_cast)
   388693    0.092    0.000    0.092    0.000 copy.py:111(_copy_immutable)
      732    0.002    0.000    0.004    0.000 copy.py:268(_reconstruct)
   778974    1.142    0.000    1.520    0.000 copy.py:66(copy)
      732    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 dtypes.py:452(construct_from_string)
        1    0.000    0.000    0.000    0.000 dtypes.py:672(construct_from_string)
      387    0.001    0.000    0.001    0.000 dtypes.py:68(find)
        1    0.000    0.000    0.000    0.000 dtypes.py:786(construct_from_string)
      138    0.000    0.000    0.001    0.000 dtypes.py:827(is_dtype)
        1    0.000    0.000    0.000    0.000 dtypes.py:929(construct_from_string)
      130    0.000    0.000    0.001    0.000 dtypes.py:973(is_dtype)
      732    0.004    0.000    0.024    0.000 factor.py:109(exp)
   179462    1.427    0.000    5.456    0.000 factor.py:115(transpose_by_)
   179462    0.231    0.000    0.440    0.000 factor.py:117(<listcomp>)
    88572    1.529    0.000   14.967    0.000 factor.py:131(marginalize)
    88572    0.095    0.000    0.159    0.000 factor.py:139(<listcomp>)
    88572    0.071    0.000    0.071    0.000 factor.py:142(<listcomp>)
    88572    0.163    0.000    0.163    0.000 factor.py:143(<listcomp>)
    89304    0.663    0.000   17.570    0.000 factor.py:165(marginalize_except_)
    89304    0.114    0.000    0.114    0.000 factor.py:167(<listcomp>)
      854    0.034    0.000    0.208    0.000 factor.py:176(normalize)
      854    0.001    0.000    0.002    0.000 factor.py:183(<listcomp>)
    89304    4.796    0.000   17.169    0.000 factor.py:197(add)
    95953    5.027    0.000   16.375    0.000 factor.py:240(product)
    89304    0.192    0.000   17.362    0.000 factor.py:326(__add__)
    95953    0.304    0.000   16.679    0.000 factor.py:338(__mul__)
   120424    1.265    0.000    4.078    0.000 factor.py:35(values)
  1823229    0.973    0.000    1.277    0.000 factor.py:353(__eq__)
   178608    0.437    0.000    1.055    0.000 factor.py:366(__hash__)
    89426    4.483    0.000   12.836    0.000 factor.py:373(logsumexp)
   185257    0.495    0.000    0.495    0.000 factor.py:391(default_factor_name)
    96807    0.280    0.000   17.486    0.000 factor.py:407(product_over_)
    96807    0.065    0.000    0.065    0.000 factor.py:408(<listcomp>)
    95953    0.234    0.000   16.913    0.000 factor.py:410(<lambda>)
      122    0.003    0.000    0.012    0.000 factor.py:417(entropy)
  2937765    1.003    0.000    1.003    0.000 factor.py:52(log_values)
  1503896    0.927    0.000    0.927    0.000 factor.py:56(log_values)
      122    0.001    0.000    0.007    0.000 factor.py:60(initialize_with_)
      732    0.007    0.000    0.112    0.000 factor.py:64(full_like_)
    89426    0.108    0.000    0.182    0.000 factor.py:76(get_cardinality_for_)
    95953    0.246    0.000    0.429    0.000 factor.py:79(get_cardinalities_for_)
   485745    3.463    0.000    6.126    0.000 factor.py:8(__init__)
    95953    0.123    0.000    0.183    0.000 factor.py:80(<listcomp>)
   387961    2.281    0.000    9.653    0.000 factor.py:82(copy)
        1    0.000    0.000    0.033    0.033 frame.py:378(__init__)
    88572    0.026    0.000    0.026    0.000 fromnumeric.py:1377(_squeeze_dispatcher)
    88572    0.112    0.000    0.412    0.000 fromnumeric.py:1381(squeeze)
    95953    0.032    0.000    0.032    0.000 fromnumeric.py:1644(_ravel_dispatcher)
    95953    0.272    0.000    1.160    0.000 fromnumeric.py:1648(ravel)
    97178    0.030    0.000    0.030    0.000 fromnumeric.py:2040(_sum_dispatcher)
    97178    0.347    0.000    2.292    0.000 fromnumeric.py:2045(sum)
   268034    0.071    0.000    0.071    0.000 fromnumeric.py:2499(_amax_dispatcher)
   268034    0.769    0.000    5.417    0.000 fromnumeric.py:2504(amax)
   179462    0.239    0.000    0.664    0.000 fromnumeric.py:55(_wrapfunc)
   179462    0.044    0.000    0.044    0.000 fromnumeric.py:599(_transpose_dispatcher)
   179462    0.235    0.000    0.900    0.000 fromnumeric.py:603(transpose)
   365212    1.334    0.000    6.516    0.000 fromnumeric.py:73(_wrapreduction)
   365212    0.559    0.000    0.559    0.000 fromnumeric.py:74(<dictcomp>)
      122    0.000    0.000    0.000    0.000 fromnumeric.py:822(_sort_dispatcher)
      122    0.001    0.000    0.006    0.000 fromnumeric.py:826(sort)
        1    0.000    0.000    0.000    0.000 function.py:40(__call__)
    95953    0.032    0.000    0.032    0.000 function_base.py:4643(_append_dispatcher)
    95953    0.558    0.000    4.015    0.000 function_base.py:4647(append)
   388083    0.092    0.000    0.092    0.000 function_base.py:741(_copy_dispatcher)
   388083    0.273    0.000    2.285    0.000 function_base.py:745(copy)
        1    0.000    0.000    0.001    0.001 generic.py:11018(logical_func)
        4    0.000    0.000    0.000    0.000 generic.py:127(__init__)
        2    0.000    0.000    0.000    0.000 generic.py:178(_validate_dtype)
        1    0.000    0.000    0.000    0.000 generic.py:297(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 generic.py:334(<dictcomp>)
        1    0.000    0.000    0.000    0.000 generic.py:349(_get_axis_number)
        1    0.000    0.000    0.000    0.000 generic.py:363(_get_axis_name)
        1    0.000    0.000    0.000    0.000 generic.py:377(_get_axis)
        1    0.000    0.000    0.000    0.000 generic.py:4113(reindex)
        2    0.000    0.000    0.000    0.000 generic.py:4341(<genexpr>)
        1    0.000    0.000    0.000    0.000 generic.py:5036(__finalize__)
        3    0.000    0.000    0.000    0.000 generic.py:5053(__getattr__)
        5    0.000    0.000    0.000    0.000 generic.py:5069(__setattr__)
        2    0.000    0.000    0.000    0.000 generic.py:5122(_protect_consolidate)
        2    0.000    0.000    0.000    0.000 generic.py:5132(_consolidate_inplace)
        2    0.000    0.000    0.000    0.000 generic.py:5135(f)
