14,2,7,3,551,0,4,156,13,4,61,2,483,413,90,1,18,32,4,507,8,24,31,21,12,2,5,186,11,248,36,76,5,9,12,445,53,65,16,20,13057,11,77,21,239,64118,0,11,4,51,3,517,3,127,1,34,5,59,4590,16,6,5,6,33,216,0,8525,3290,35,31,255,30
1,0,11,0,2,385,0,2,91,7,2,3,11,4,0,1,458,182,0,3,0,1,1,0,1,0,9,0,0,0,0,40,0,0,0,1,11,1,0,0,12,4,1,1,4,0,1782,261,9,2,1,3,1,6,1,2,1,0,1,87,4,54,3,4,0,3,3,5,1,1,2,4
1,2,75,4,27,89,22,5,129,22,7,1,44,6,0,17,452,228,0,12,0,11,5,2,2,1,10,12,4,7,1,69,2,4,2,5,21,0,1,0,16,8,6,3,33,7,255,13117,155,9,1,10,1,14,5,9,6,5,5,3627,8,27,9,2,6,26,10,20,5,5,14,21
3,6,1284,21,12,11,1280,3,149,12,7,0,27,3,0,40,279,129,0,6,1,6,2,1,0,3,7,4,7,5,1,44,0,1,3,2,23,1,0,0,14,12,3,8,14,4,20,276,18474,4,6,5,0,11,28,10,43,3,3,2367,9,9,2,5,3,138,6,16,3,2,9,14
890,22,43,25,472,33,8,242,113,229,216,7,779,165,31,24,58,189,4,281,26,51,65,61,26,37,39,134,142,106,26,186,15,120,321,104,4706,41,412,4,576,74,66,290,705,132,5,27,10,57349,40,175,22,201,18,133,19,251,132,48,118,35,39,146,109,12,336,622,2889,2018,798,7711
5,341,26,25,37,1,5,14,29,49,27,1,90,25,3,17,12,39,0,17,4,18,4,6,1,82,3,39,12,19,7,11,2,9,44,3,190,2,3,0,47,6,5,97,46,11,1,5,9,56,2840,32,1,24,49,15,68,6,11,11,158,5,1,47,22,10,44,94,16,13,48,123
44,3,13,4,261,6,7,43,23,22,49,12,530,182,34,4,25,40,3,188,11,56,32,25,17,7,17,372,53,17740,20,101,9,13,40,62,86,42,18,3,9481,16,39,38,187,368,2,14,8,59,6,142891,18,422,10,86,11,44,178,23,12,11,13,38,6417,3,455,4685,43,32,265,44
28,0,3,0,7,2,0,5,4,5,60,251,303,18,0,0,2,10,0,13,0,1104,23,1,365,0,3,32,91,12,1,92,28,1,2,2,11,1,9,0,41,47,1,2,9,6,0,1,1,10,0,35,5609,97,1,834,0,2,8,3,2,8,439,2,21,1,21,48,1,10,21,12
135,2,41,4,177,7,9,44,61,19,340,36,6808,376,16,14,47,84,2,110,8,158,4468,30,114,8,26,6117,90,454,10,173,165,10,33,48,150,13,55,1,905,62,25,50,110,118,1,21,21,110,14,434,30,152069,16,228,14,22,58,53,16,21,52,41,7367,12,200,953,36,32,138,133
7,6,299,6,16,11,8,4,667,43,3,3,34,9,0,22,89,212,0,7,0,3,3,3,1,2,15,13,4,4,0,35,0,2,11,2,45,4,3,0,17,27,1,26,17,2,7,14,32,12,111,22,2,10,3536,7,246,1,5,39,145,24,10,7,5,46,22,24,2,1,10,17
3365,11,120,17,950,42,26,308,328,135,6949,155,9011,950,55,63,149,553,7,749,20,824,563,163,1230,19,191,916,4466,892,69,1267,208,63,105,277,630,94,1342,5,3701,855,104,103,828,507,29,121,89,576,12,1192,1612,1633,25,48542,38,99,518,300,80,200,619,72,792,40,1130,2986,208,215,765,685
13,92,376,580,35,19,100,16,252,22,24,5,180,27,2,319,102,273,0,22,2,18,27,3,20,17,26,58,27,20,3,177,10,5,12,10,60,5,5,0,75,39,4,32,40,21,7,55,130,33,70,48,13,68,117,40,6595,4,23,253,22,49,32,13,30,1507,30,162,10,8,32,37
11,5,17,3,1768,1,3,236,37,31,18,0,122,89,47,8,27,54,4,156,49,12,6,20,4,4,11,57,5,52,68,20,4,348,107,186,1508,132,9,776,303,11,1469,88,1694,96,2,9,12,256,13,83,0,35,5,19,4,15568,169,30,32,8,3,54,29,4,213,256,1904,44,534,100
19,2,15,5,1413,2,3,1620,23,23,65,8,534,304,114,2,31,55,7,2068,13,36,31,37,14,7,10,135,36,225,78,71,5,30,19,7268,140,118,25,10,2035,25,128,39,692,3567,3,12,8,102,6,351,8,147,4,51,4,116,91709,15,6,6,18,25,155,4,1103,1072,92,38,677,66
19,10,667,36,139,69,175,31,714,70,31,2,263,41,6,74,1853,1097,2,47,0,23,14,8,10,7,54,38,23,24,7,165,6,24,32,24,225,14,9,0,129,73,19,48,105,28,171,11211,4045,79,17,44,5,55,44,49,56,25,36,59971,47,86,32,18,29,112,52,131,32,17,75,104
4,20,15,3,23,3,1,5,156,601,6,1,38,11,1,7,26,73,0,17,1,7,10,1,2,15,6,10,3,8,1,15,0,15,129,5,849,4,1,0,24,10,4,47,34,7,0,6,4,43,390,14,3,13,44,9,6,14,6,16,7124,7,1,18,10,5,11,32,20,4,24,157
